epoch,L_total,L_rec,L_preserve,L_nuisance,delta_signal,probe_acc_zs,probe_acc_zs_prime,silhouette_zs,silhouette_zs_prime
1,15.021733573913574,0.8651205455462138,12.848328852335612,0.6541420335769653,12.848329,nan,nan,0.21904464,0.05695925
2,15.013637242635092,0.8648606004714966,12.841709833780925,0.6535334094365438,12.841711,nan,nan,0.21904464,0.05790907
3,14.993177495320637,0.8646050621668497,12.821536430358886,0.6535180306434631,12.821536,nan,nan,0.21904464,0.057356272
4,14.96407167561849,0.8643055521647135,12.794480293273926,0.652642918586731,12.79448,nan,nan,0.21904464,0.059508514
5,14.935818875630696,0.8640347002347311,12.768904004414876,0.6514401337305705,12.768904,nan,nan,0.21904464,0.059721254
6,14.90936696879069,0.8637554284731547,12.74509563446045,0.650257960955302,12.745096,nan,nan,0.21904464,0.06099952
7,14.880230425516764,0.8635038119951884,12.718009503682454,0.6493585381507874,12.71801,nan,nan,0.21904464,0.06135304
8,14.874700403849284,0.8632654436429341,12.71455478922526,0.6484400582313538,12.714555,nan,nan,0.21904464,0.061031215
9,14.871215339660644,0.8630564416249593,12.71050412495931,0.6488273811340332,12.7105055,nan,nan,0.21904466,0.06130241
10,14.854096552530924,0.8628295509020487,12.696901944478354,0.6471825075149537,12.696901,nan,nan,0.21904464,0.060811136
11,14.841070068359375,0.8626125251452128,12.685476524353028,0.646490517616272,12.685476,nan,nan,0.21904464,0.06023411
12,14.829500628153482,0.8624013775189717,12.675847745259603,0.645625772635142,12.675849,nan,nan,0.21904464,0.060095966
13,14.816352233886718,0.8622258268992106,12.663549540201823,0.6452884265581766,12.663549,nan,nan,0.21904464,0.06026283
14,14.81957829284668,0.862046413898468,12.668223640441894,0.6446541295051574,12.668224,nan,nan,0.21904464,0.059105694
15,14.803761932373046,0.8618902537027995,12.65398708852132,0.6439422823588054,12.653987,nan,nan,0.21904464,0.059307653
16,14.806024762471518,0.8617408407529196,12.656873184204102,0.6437053904533386,12.656874,nan,nan,0.21904464,0.058451112
17,14.783244010925292,0.86159721104304,12.634988121032714,0.6433293280601502,12.634987,nan,nan,0.21904464,0.058255054
18,14.797383420308432,0.8614541762669882,12.64976894378662,0.6430801898638407,12.64977,nan,nan,0.21904464,0.058700614
19,14.777538078308105,0.861314007282257,12.631016947428385,0.642603635152181,12.631017,nan,nan,0.21904464,0.05862488
20,14.785445978800455,0.8611824932098389,12.638702369689941,0.6427806078592936,12.638703,nan,nan,0.21904464,0.057995304
21,14.761975179036458,0.8610418497721354,12.617508171081543,0.6417126185099283,12.617508,nan,nan,0.21904464,0.057991914
22,14.766838645935058,0.8608589070638021,12.623216590881349,0.6413815824190775,12.623216,nan,nan,0.21904464,0.05713364
23,14.751761604309083,0.8607006200154622,12.6108150583903,0.6401229529380799,12.610815,nan,nan,0.21904464,0.058474947
24,14.744158971150716,0.8605379484494527,12.604396598815917,0.6396122673352559,12.604397,nan,nan,0.21904464,0.057400793
25,14.72885514831543,0.8603940348625183,12.589730489095052,0.6393653306961059,12.589732,nan,nan,0.21904464,0.05721954
26,14.735839235941569,0.8602667946815491,12.596893313090007,0.6393395719528199,12.596893,nan,nan,0.21904464,0.05681257
27,14.719860412597656,0.8601417005856832,12.58157371266683,0.6390724924405415,12.581573,nan,nan,0.21904464,0.057506114
28,14.711881741841633,0.8600061175028483,12.576148226420084,0.6378636719385783,12.576148,nan,nan,0.21904466,0.05751606
29,14.704225026448567,0.859877687772115,12.568534337361653,0.6379064631462097,12.568534,nan,nan,0.21904464,0.05755351
30,14.702184028625489,0.8597496627171834,12.567429077148438,0.6375026214917501,12.56743,nan,nan,0.21904464,0.05597099
31,14.69611139678955,0.8596202583312988,12.562132367451985,0.6371793772379557,12.562132,nan,nan,0.21904464,0.057267483
32,14.693415349324544,0.8594968690872192,12.560979553222657,0.6364694010416667,12.560979,nan,nan,0.21904464,0.057002593
33,14.682227790832519,0.859393568833669,12.549281008402506,0.6367766138712565,12.549281,nan,nan,0.21904464,0.056400247
34,14.683313054402669,0.859273097038269,12.551247734069824,0.6363961512247721,12.551248,nan,nan,0.21904464,0.056329504
35,14.675488471984863,0.8591648414929708,12.54451389058431,0.6359048128128052,12.544515,nan,nan,0.21904464,0.057155196
36,14.662116434733074,0.8590226901372274,12.531919865926106,0.6355869406064352,12.53192,nan,nan,0.21904464,0.05638919
37,14.650142278035482,0.8589101894696554,12.520457354227702,0.6353873912493387,12.520457,nan,nan,0.21904464,0.056164164
38,14.643138074239095,0.8587924489974975,12.514207908630372,0.635068865776062,12.514209,nan,nan,0.21904464,0.056086343
39,14.635843808492025,0.8586694966952007,12.508325391133626,0.6344245020548502,12.508326,nan,nan,0.21904464,0.056387458
40,14.625498565673828,0.8585753995577494,12.49868453725179,0.6341193081537883,12.498685,nan,nan,0.21904464,0.0567778
